RecordID,LastName,FirstName,MiddleInit,DOB,SSN4,PrimaryPhone,SecondaryPhone,EmailAddr,AddressLine1,AddressLine2,City,St,Zipcode,LoadDate
VC000059,Jackson,James,X,2001-05-22,3582,970-528-5273,213.204.9083,james.jackson65@gmail.com,137 Jefferson Dr,,Oxford,ND,57781-6363,2026-05-30
VC000060,Baker,Charles,D,09-May-2003,9830,+18607545151,,charles.baker43@outlook.com,327 Main St,,Clinton,WI,55062,2026-05-19
VC000061,Nelson,Mark,Y,01-04-1983,7774,809.947.3809,,mark.nelson75@yahoo.com,793 Oak Ave,Apt 615,Greenville,TN,72305,2026-05-29
VC000062,Williams,Robert,R,07/12/1942,4783,(212) 684-6022,,,4370 Cedar Ln,,Salem,DE,16162-9142,2026-05-24
VC000063,Wright,Barbara,W,1981-05-20,6544,3076905816,+14657008279,barbara.wright25@icloud.com,1338 Jefferson Dr,Apt 162,Clinton,TN,42775,2026-05-21
VC000064,Hill,William,,18-Jun-1991,3635,675-652-9195,340.768.3603,william.hill66@gmail.com,9665 Valley Ln,,Greenville,KY,62945,2026-05-17
VC000065,Davis,Robert,X,09-21-1985,3511,+17764108338,,robert.davis59@outlook.com,6988 Oak Ave,Apt 824,Madison,TN,65979-9285,2026-05-19
VC000066,Wilson,Nancy,E,04/24/1966,9274,721.209.7375,6894275504,nancy.wilson87@aol.com,3811 Hill Rd,,Richmond,IN,67900,2026-05-30
VC000067,Garcia,Betty,,1983-10-01,3432,(720) 715-3732,,betty.garcia72@hotmail.com,998 Main St,,Clinton,AK,70275,2026-05-11
VC000068,Walker,Barbara,F,13-Jul-1965,9806,2104394945,+15478404035,,5593 Cedar Ln,,Springfield,AK,39600-9850,2026-05-06
VC000069,Brown,Ashley,,01-05-1977,5429,917-834-2527,293.528.4531,,2617 Main St,,Dayton,WV,77966,2026-05-12
VC000070,Young,David,,01/31/1946,6657,+16415645915,,david.young19@outlook.com,6364 Jefferson Dr,,Arlington,SC,86910,2026-05-10
VC000071,Miller,Patricia,E,1993-12-02,5869,809.777.3440,7745635189,,9783 Sunset Blvd,,Franklin,UT,64904-2456,2026-06-04
VC000072,Smith,John,,30-Jul-1989,2902,(362) 672-4762,726-730-6987,john.smith82@aol.com,1704 Oak Ave,Apt 534,Richmond,MT,60301,2026-05-19
VC000073,Martin,Jennifer,G,07-19-1952,9195,9124313163,,jennifer.martin69@aol.com,9473 Washington St,,Springfield,WI,98581,2026-05-25
VC000074,Johnson,Jennifer,K,12/14/1967,5822,541-553-2757,,jennifer.johnson78@aol.com,7412 Oak Ave,,Springfield,OK,79708-4187,2026-05-11
VC000075,Miller,John,M,1961-04-01,7744,+15816502311,,john.miller75@hotmail.com,7649 Sunset Blvd,,Oxford,VT,49934,2026-05-16
VC000076,King,Nancy,,15-Dec-1975,7557,836.474.2522,8923774560,,6106 Jefferson Dr,,Georgetown,ID,24920,2026-05-13
VC000077,Jackson,Ashley,,08-03-1942,9037,(668) 868-2396,371-696-7315,,9523 Lake Rd,Apt 386,Dayton,NC,80173-1592,2026-06-02
VC000078,Miller,Daniel,C,08/02/1979,1914,4575599298,,daniel.miller39@yahoo.com,8789 Sunset Blvd,Apt 490,Marion,GA,26874,2026-05-16
VC000079,Walker,Lisa,S,1984-05-12,4677,653-241-5028,945.245.5250,lisa.walker42@yahoo.com,8979 Maple Dr,Apt 295,Dayton,LA,13454,2026-05-11
VC000080,Davis,Matthew,,18-Jun-1965,2228,+17316037454,,,6839 Park Blvd,,Madison,IL,26001-8620,2026-05-17
VC000081,Brown,William,,05-18-1959,6526,973.372.1644,,,7258 River Dr,,Georgetown,CT,39223,2026-05-31
VC000082,Harris,Christopher,R,11/05/1958,9631,(612) 373-6579,955-399-6775,christopher.harris28@outlook.com,3011 Forest Ave,Apt 238,Marion,PA,69816,2026-05-29
VC000083,Garcia,Daniel,,1972-07-06,6017,7552683669,,,375 Sunset Blvd,Apt 381,Georgetown,NY,76979-2519,2026-05-28
VC000084,King,Margaret,T,17-Dec-1944,6983,283-406-8947,,margaret.king82@gmail.com,1883 Jefferson Dr,Apt 649,Georgetown,MI,50540,2026-05-11
VC000085,Jackson,Barbara,B,12-22-1972,3405,+19895488996,(706) 911-8313,barbara.jackson86@hotmail.com,796 Main St,,Dayton,TN,11334,2026-06-01
VC000086,Hall,Karen,,02/05/1983,2409,974.707.8483,8055912323,karen.hall7@aol.com,8795 Maple Dr,Apt 260,Manchester,FL,89247-6908,2026-05-23
VC000087,Johnson,Daniel,J,1943-04-03,2669,(458) 651-5173,,daniel.johnson52@yahoo.com,2799 Sunset Blvd,,Richmond,NY,30132,2026-06-02
VC000088,Scott,Robert,B,18-Jul-1962,1745,5827773082,,robert.scott16@yahoo.com,7209 Valley Ln,,Salem,MT,10592,2026-05-13
VC000089,Thompson,Sarah,E,01-29-1947,9915,607-285-7622,315.863.8132,,4139 Sunset Blvd,Apt 295,Burlington,DE,36968-6542,2026-05-31
VC000090,Davis,David,C,07/04/1988,5982,+14982911808,,david.davis23@aol.com,8392 Park Blvd,,Dayton,MD,43308,2026-05-24
VC000091,Garcia,Sarah,P,1949-11-25,8963,243.466.2131,4432339645,,2852 Hill Rd,Apt 164,Franklin,NM,75524,2026-05-20
VC000092,Nguyen,Daniel,G,17-Nov-1941,6746,(316) 551-4740,,daniel.nguyen8@icloud.com,9364 Hill Rd,Apt 14,Dayton,NJ,45144-2279,2026-05-30
VC000093,Walker,Susan,,04-08-1979,9351,5294817811,,susan.walker53@outlook.com,3544 Hill Rd,,Dayton,SC,65696,2026-05-24
VC000094,Young,Joseph,U,12/04/1942,5685,644-316-1999,283.785.3452,,2854 River Dr,,Georgetown,NH,29766,2026-05-05
VC000095,King,Barbara,,1974-04-02,7294,+16056172365,,barbara.king90@gmail.com,5599 Hill Rd,Apt 307,Burlington,VT,31621-8650,2026-05-12
VC000096,Scott,Patricia,R,13-Jun-1963,7181,241.270.9623,4245377198,patricia.scott85@aol.com,837 Hill Rd,Apt 728,Dayton,AK,33034,2026-05-27
VC000097,Torres,Mark,,08-02-1989,1428,(278) 818-9421,594-398-2844,mark.torres71@outlook.com,6567 Lincoln Ave,Apt 450,Oxford,WV,84427,2026-05-31
VC000098,Hill,Michael,,10/30/1957,2856,8518008969,,michael.hill40@hotmail.com,1308 Cedar Ln,Apt 618,Arlington,NE,51276-7171,2026-05-05
VC000099,Jackson,Thomas,,1978-05-19,5718,553-236-8680,335.642.8583,,7411 Park Blvd,,Fairview,WY,32837,2026-05-05
VC000100,Baker,Daniel,C,13-Jan-1946,8230,+18739819065,(408) 294-3921,daniel.baker85@outlook.com,6257 Maple Dr,,Manchester,WV,85141,2026-05-06
VC000101,Smith,Robert,K,05-20-1965,4781,590.436.1927,2308644545,robert.smith64@aol.com,1629 Lake Rd,,Salem,AZ,28874-4213,2026-05-27
VC000102,Scott,Matthew,M,05/06/1951,4717,(472) 407-2514,,,2856 Main St,,Burlington,PA,94584,2026-05-26
VC000103,Davis,Jennifer,U,2002-12-17,1333,4399552890,+15846092584,,5454 Maple Dr,Apt 291,Franklin,KS,78422,2026-05-20
VC000104,Martin,Joseph,C,17-Dec-1956,8295,532-647-5534,,joseph.martin56@aol.com,4141 Washington St,,Salem,TX,89446-3146,2026-05-28
VC000105,Smith,William,,05-05-1966,4245,+17255666585,,william.smith46@outlook.com,9900 Jefferson Dr,,Burlington,NY,94544,2026-05-19
VC000106,Nelson,Lisa,,02/04/1999,2222,219.242.9187,8339964201,,9864 Park Blvd,,Franklin,OK,58609,2026-05-11
VC000107,Jackson,Jennifer,E,1992-09-30,8708,(924) 988-5144,394-566-2130,jennifer.jackson34@gmail.com,5044 Valley Ln,,Arlington,KS,79954-5234,2026-06-03
VC000108,Thomas,Mary,C,05-Oct-1950,9536,8048645325,+19683809934,,8371 Valley Ln,,Marion,IA,10864,2026-05-10
VC000109,Smith,Matthew,,03-28-1940,8281,514-224-7271,,matthew.smith24@outlook.com,2621 Hill Rd,,Greenville,NC,52664,2026-05-21
VC000110,Miller,Patricia,T,01/07/1995,6549,+14773445641,,patricia.miller71@hotmail.com,9406 Cedar Ln,Apt 753,Greenville,CA,50812-5751,2026-05-11
VC000111,Davis,Christopher,,1996-08-29,3537,958.260.2153,,christopher.davis56@yahoo.com,7194 Jefferson Dr,,Arlington,RI,78129,2026-05-28
VC000112,Taylor,William,,09-Jun-1995,7790,(966) 245-5344,,,3251 Forest Ave,Apt 910,Salem,AZ,31883,2026-05-13
VC000113,Hall,Sandra,X,10-03-1997,5405,2105738753,+16527332203,sandra.hall40@outlook.com,1089 River Dr,Apt 712,Salem,MI,39257-1841,2026-05-08
VC000114,Garcia,Nancy,B,12/25/1993,8286,380-714-5933,,nancy.garcia25@yahoo.com,6963 Lincoln Ave,Apt 735,Richmond,MT,25658,2026-05-20
VC000115,Martin,Mary,G,2000-01-21,4447,+15629785808,,mary.martin42@yahoo.com,2748 Washington St,,Fairview,NV,58525,2026-06-01
VC000116,Taylor,Matthew,M,06-Feb-1948,2062,304.719.4954,,matthew.taylor83@icloud.com,1010 Forest Ave,,Richmond,DE,44301-7826,2026-06-02
VC000117,Anderson,Ashley,,07-07-1977,3979,(459) 323-3113,594-762-9112,ashley.anderson66@hotmail.com,7135 Cedar Ln,Apt 438,Greenville,TN,94823,2026-05-06
VC000118,Nelson,Anthony,J,08/27/1987,1706,9338019050,,anthony.nelson77@icloud.com,9804 Cedar Ln,,Oxford,OH,29198,2026-06-04
VC000119,Adams,Margaret,,1974-01-02,3686,394-751-7763,981.614.4527,,3840 Jefferson Dr,,Springfield,GA,91654-3663,2026-05-10
VC000120,Jones,Anthony,,16-Feb-1944,4830,+18628969122,,anthony.jones78@yahoo.com,7805 Lake Rd,,Marion,SC,78527,2026-05-30
VC000121,Hall,Mark,D,11-12-1947,9869,713.518.6340,8204749807,mark.hall79@aol.com,2884 Jefferson Dr,,Burlington,NM,64334,2026-05-22
VC000122,Wright,Ashley,D,09/19/1994,6724,(328) 220-1398,,,4474 Maple Dr,,Salem,MO,52351-9922,2026-05-07
VC000123,Walker,Mary,J,1989-06-05,6138,7228048743,+12533865974,mary.walker50@aol.com,9166 Cedar Ln,Apt 33,Georgetown,AZ,67466,2026-05-14
VC000124,Thomas,Margaret,I,16-May-1993,3980,459-719-2670,458.448.1112,,7450 Lake Rd,,Manchester,IN,99737,2026-05-17
VC000125,Hall,Richard,,03-02-1946,3147,+15198652401,,,9993 Forest Ave,,Salem,AL,39727-3694,2026-05-14
VC000126,White,Joseph,,07/10/1977,5392,636.644.1641,,,4551 Lake Rd,,Richmond,AZ,90683,2026-05-28
VC000127,Adams,Robert,W,1970-04-03,2151,(216) 271-5553,454-800-7410,robert.adams96@yahoo.com,5765 Sunset Blvd,,Fairview,NV,44733,2026-05-10
VC000128,Harris,Margaret,,21-Aug-2000,5440,3795664754,,,2308 Main St,Apt 726,Fairview,NJ,34116-2251,2026-05-13
VC000129,Johnson,John,Z,01-05-2000,8798,601-547-9229,,john.johnson18@gmail.com,76 Hill Rd,,Salem,GA,59609,2026-05-13
VC000130,King,Richard,H,03/11/1997,1077,+14034747680,(669) 792-8411,richard.king86@hotmail.com,3093 Forest Ave,,Franklin,MO,45796,2026-05-18
VC000131,Walker,Matthew,L,1954-06-08,4626,547.741.9978,,,1544 Lincoln Ave,Apt 64,Burlington,NE,91910-8119,2026-05-27
VC000132,Miller,Karen,,04-Jan-1961,2985,(953) 336-2631,,,1497 Sunset Blvd,,Fairview,MT,85075,2026-05-23
VC000133,Young,Nancy,,07-23-1994,4197,2256114610,,,7307 Lake Rd,,Franklin,MA,17213,2026-06-04
VC000134,Brown,Thomas,A,07/28/1967,6469,710-688-6734,316.512.5668,thomas.brown76@hotmail.com,58 Jefferson Dr,,Arlington,AZ,35405-2904,2026-06-02
VC000135,Martin,Sandra,U,1950-07-09,2589,+14445735471,(530) 855-5771,sandra.martin54@icloud.com,8514 Washington St,Apt 239,Springfield,NH,49705,2026-05-18
VC000136,Smith,Anthony,B,14-Feb-2000,8723,236.607.3379,,,6000 Main St,,Arlington,SC,20553,2026-05-12
VC000137,Hall,Susan,H,04-15-1961,1686,(776) 589-5573,328-444-1525,susan.hall10@hotmail.com,8635 Jefferson Dr,,Fairview,KY,49216-4721,2026-05-30
VC000138,Baker,Charles,S,12/08/1955,4806,9108535683,,,8005 Forest Ave,,Madison,MN,76088,2026-05-08
VC000139,Davis,William,L,1952-01-15,9475,428-388-4640,543.571.1147,,1537 Park Blvd,,Oxford,IA,89234,2026-05-26
VC000140,Taylor,Matthew,O,19-Oct-1962,6046,+18715653050,,matthew.taylor13@aol.com,5269 Forest Ave,,Franklin,UT,53691-9277,2026-05-20
VC000141,Thomas,Sarah,L,10-20-1978,3380,832.815.4445,7038227334,sarah.thomas22@icloud.com,9904 Oak Ave,Apt 26,Clinton,NC,91222,2026-05-06
VC000142,Baker,Nancy,Z,08/31/1950,1160,(704) 267-8674,,,2483 Oak Ave,Apt 387,Greenville,NC,41968,2026-05-12
VC000143,Williams,Betty,,1981-01-09,1367,4022104387,,,4844 Sunset Blvd,Apt 21,Franklin,NH,38728-9386,2026-05-27
VC000144,Thomas,Anthony,K,27-Jan-1943,4755,717-780-2930,,anthony.thomas60@aol.com,2883 Washington St,Apt 974,Fairview,WI,13254,2026-06-03
VC000145,Young,Thomas,,11-03-1958,2000,+16995055834,,thomas.young86@hotmail.com,6932 Lake Rd,Apt 118,Oxford,MN,84845,2026-05-22
VC000146,Wright,Richard,,01/09/1992,7503,344.960.5568,,richard.wright38@yahoo.com,4996 Washington St,Apt 908,Oxford,OR,58788-5001,2026-05-31
VC000147,Taylor,Joseph,,1952-11-11,4136,(714) 947-1034,,,3541 River Dr,Apt 509,Dayton,NJ,94376,2026-06-02
VC000148,White,Anthony,,01-Apr-1961,1432,6143053520,,,2767 Jefferson Dr,,Greenville,OH,95079,2026-05-30
VC000149,Williams,James,,04-07-1997,4005,306-354-8712,649.542.6068,james.williams14@hotmail.com,2820 Lake Rd,Apt 848,Oxford,ID,24213-5049,2026-05-19
VC000150,Taylor,Karen,Q,07/06/1944,5740,+12959894979,,,3774 Lincoln Ave,Apt 91,Springfield,AR,94740,2026-05-14
VC000151,Young,Matthew,R,1945-06-06,5145,394.390.5207,4642989153,matthew.young81@yahoo.com,9227 Jefferson Dr,,Madison,IN,45305,2026-05-21
VC000152,Jackson,Daniel,G,24-Aug-1973,2247,(751) 590-2937,,daniel.jackson10@outlook.com,1671 Park Blvd,Apt 254,Clinton,AK,35984-5494,2026-05-13
VC000153,Miller,Patricia,,02-14-1971,8560,2184533554,,patricia.miller51@hotmail.com,4400 Hill Rd,,Salem,SD,35939,2026-06-02
VC000154,Williams,Linda,T,05/22/1954,2472,325-734-2418,,linda.williams60@icloud.com,3813 Main St,,Burlington,MO,26135,2026-05-16
VC000155,King,Mary,W,1982-04-05,8543,+14988215779,(458) 877-8856,mary.king14@hotmail.com,8423 Maple Dr,,Greenville,AL,30125-7061,2026-05-07
VC000156,Allen,Lisa,D,16-Sep-1965,1812,649.909.5148,3856747780,,805 Maple Dr,Apt 932,Clinton,IN,93444,2026-05-20
VC000157,Garcia,Joseph,,12-21-1984,2696,(348) 880-8566,,joseph.garcia68@aol.com,4970 Jefferson Dr,,Richmond,MA,81421,2026-05-18
VC000158,Brown,Ashley,T,07/17/1969,7388,4577082478,,ashley.brown75@aol.com,3901 Valley Ln,,Franklin,WY,51079-6448,2026-05-19
VC000159,Johnson,Matthew,B,2001-08-13,5681,754-933-6120,912.237.5008,,9644 Park Blvd,,Clinton,HI,48163,2026-05-28
VC000160,Nelson,Anthony,P,24-Apr-1950,2761,+14946188503,(821) 404-9260,anthony.nelson68@aol.com,2275 Park Blvd,,Salem,AL,51096,2026-05-19
VC000161,Nelson,William,,04-04-1941,9376,778.916.7513,,,7296 Oak Ave,,Dayton,VT,97908-5726,2026-05-12
VC000162,Jones,Linda,,08/09/1953,3437,(585) 422-9223,844-368-6260,linda.jones51@gmail.com,4605 Hill Rd,Apt 138,Franklin,DE,70101,2026-05-30
VC000163,Scott,Sarah,,1994-08-06,8148,5487032765,+18438029229,,7013 Cedar Ln,Apt 357,Burlington,MA,59420,2026-05-11
VC000164,Taylor,Sandra,I,22-Dec-1955,3099,781-634-5965,,,2545 River Dr,Apt 608,Oxford,FL,51955-9519,2026-05-17
VC000165,Brown,Thomas,F,03-02-1965,2876,+18146437345,,thomas.brown94@aol.com,8004 River Dr,,Clinton,UT,64932,2026-05-09
VC000166,Miller,James,,02/16/1968,8209,856.914.6783,,james.miller21@aol.com,7921 Jefferson Dr,Apt 778,Richmond,ID,22260,2026-05-21
VC000167,Wilson,Sarah,D,1984-09-08,6444,(747) 769-6771,,sarah.wilson35@yahoo.com,9314 Hill Rd,,Manchester,TX,85098-2135,2026-06-02
VC000168,Hall,Mary,,12-Nov-2004,4418,7186374307,,,8037 Cedar Ln,,Georgetown,NC,32099,2026-05-29
VC000169,Baker,Barbara,M,11-10-1994,6470,246-716-7751,528.558.8226,barbara.baker35@outlook.com,4647 Jefferson Dr,,Oxford,RI,16921,2026-05-26
VC000170,Williams,Mary,Z,03/13/1960,5188,+14468632987,(717) 674-8999,mary.williams56@aol.com,4391 River Dr,Apt 680,Georgetown,AL,12331-7681,2026-05-06
VC000171,Torres,Susan,,1988-12-28,8556,372.300.6695,7467081450,susan.torres37@icloud.com,347 Sunset Blvd,Apt 830,Richmond,GA,46328,2026-06-01
VC000172,Torres,Lisa,,13-Aug-1945,9991,(270) 679-2234,,lisa.torres61@gmail.com,4796 Washington St,,Springfield,VA,61458,2026-05-14
VC000173,Jackson,Susan,,05-17-1953,7708,5032311292,+12403096301,susan.jackson65@gmail.com,5003 Lake Rd,,Georgetown,ID,59086-5692,2026-05-20
VC000174,Adams,Karen,N,10/14/1940,1591,598-320-3839,,karen.adams59@hotmail.com,3842 Sunset Blvd,Apt 712,Franklin,RI,96788,2026-05-08
VC000175,Garcia,Mark,Y,1948-11-14,4734,+18802967627,(423) 619-1708,,9250 Hill Rd,Apt 329,Franklin,TN,47575,2026-05-19
VC000176,Smith,David,,05-Sep-1981,7579,989.791.2102,,,4583 Oak Ave,Apt 912,Arlington,OH,43602-1908,2026-05-17
VC000177,Allen,Jennifer,,08-09-1987,9806,(760) 708-1401,,jennifer.allen56@outlook.com,1838 Hill Rd,Apt 81,Franklin,WY,74235,2026-05-16
VC000178,Jackson,Nancy,H,03/01/1958,2436,8554969779,,,1900 Maple Dr,Apt 499,Richmond,AK,50288,2026-05-20
