FIRST_NAME|LAST_NAME|EMAIL_ADDRESS|PHONE_NUMBER|STREET_ADDRESS|CITY|STATE|ZIP_CODE|DATE_OF_BIRTH|SSN_LAST4|RECORD_ID
JESSICA|SMITH|jessica.smith9@icloud.com|7233636531|2098 Oak Ave|Oxford|Tex.|40952-3584|10-24-1988|6612|VA000031
RICHARD|THOMAS|richard.thomas36@aol.com|698-663-1496|5125 Cedar Ln|Clinton|MD|45261|04/16/1962|5205|VA000032
JOHN|MILLER|john.miller48@aol.com|+12059041860|4255 Lincoln Ave|Springfield|de|16291|1967-04-19|2229|VA000033
JESSICA|ALLEN|jessica.allen95@aol.com|243.913.5533|479 Forest Ave|Fairview|NJ|37398-5189|19-Dec-1944|5502|VA000034
ROBERT|THOMAS|robert.thomas19@icloud.com|(981) 256-5732|8020 Park Blvd|Manchester|MD|26456|11-26-2000|2765|VA000035
BARBARA|YOUNG|barbara.young9@outlook.com|9912898396|786 Jefferson Dr|Dayton|TX|59890|08/07/1962|2921|VA000036
SARAH|ADAMS|sarah.adams44@aol.com|933-210-2631|2189 Jefferson Dr|Clinton|tx|11438-1256|1953-03-07|6216|VA000037
MATTHEW|BAKER|matthew.baker89@yahoo.com|+18459078676|7642 Hill Rd|Arlington|Michigan|48740|07-Nov-1985|6907|VA000038
JOHN|HILL|john.hill77@aol.com|946.509.6036|7116 Washington St|Franklin|ME|58600|09-29-1974|2447|VA000039
SUSAN|THOMAS|susan.thomas95@yahoo.com|(339) 594-5172|8134 Park Blvd|Richmond|CT|95001-5929|08/15/2003|5254|VA000040
RICHARD|BAKER|richard.baker68@gmail.com|5734039353|1816 Hill Rd|Georgetown|mn|70109|1966-01-21|4335|VA000041
PATRICIA|THOMAS||486-652-4948|9293 Washington St|Arlington|OR|11221|25-Mar-1969|4663|VA000042
SUSAN|WRIGHT|susan.wright35@aol.com|+17804993992|9442 River Dr|Richmond|VT|61590-1759|11-24-1969|9880|VA000043
MICHAEL|WALKER|michael.walker11@hotmail.com|925.213.4786|2310 Park Blvd|Manchester|WA|14489|12/27/1970|8566|VA000044
DAVID|WALKER|david.walker30@aol.com|(871) 518-3219|3898 Forest Ave|Richmond|ok|46264|1995-03-11|7836|VA000045
THOMAS|YOUNG|thomas.young86@hotmail.com|6995055834|6932 Lake Rd|Oxford|MN|84845-7377|03-Nov-1958|2000|VA000046
PATRICIA|BROWN|patricia.brown35@hotmail.com|281-578-8199|2921 Hill Rd|Franklin|VA|50842|10-26-2003|4509|VA000047
DAVID|MARTIN|david.martin16@gmail.com|+17779534458|7217 Washington St|Springfield|OH|98088|05/05/1976|5339|VA000048
RICHARD|HARRIS|richard.harris49@hotmail.com|922.643.3296|540 Sunset Blvd|Richmond|wy|65291-4954|1968-12-09|2028|VA000049
JAMES|WALKER|james.walker67@yahoo.com|(695) 885-1893|9346 Valley Ln|Springfield|NM|11950|19-Jan-1952|9687|VA000050
DANIEL|HILL|daniel.hill5@yahoo.com|7028492162|9928 Maple Dr|Clinton|MD|34151|11-28-1949|1109|VA000051
RICHARD|YOUNG|richard.young60@hotmail.com|363-724-7424|7016 Lake Rd|Richmond|VT|26614-6445|02/17/1965|4777|VA000052
LISA|HILL|lisa.hill27@hotmail.com|+18636177288|4706 Lake Rd|Fairview|mt|57356|1970-10-07|8043|VA000053
NANCY|NELSON|nancy.nelson88@hotmail.com|344.211.5032|3042 Sunset Blvd|Richmond|WA|80976|23-Sep-1976|6527|VA000054
CHRISTOPHER|TORRES|christopher.torres6@aol.com|(870) 395-4160|7304 Oak Ave|Franklin|Ohi.|91134-3251|10-06-1970|5939|VA000055
SUSAN|ANDERSON|susan.anderson99@hotmail.com|6957159594|4450 Oak Ave|Madison|MN|69902|09/09/1965|8849|VA000056
WILLIAM|TORRES|william.torres78@yahoo.com|541-283-3317|5732 Park Blvd|Dayton|vt|96787|1975-03-01|3112|VA000057
MARGARET|WHITE|margaret.white61@yahoo.com|+15513872570|5099 Lake Rd|Greenville|VA|66408-8134|10-Aug-1962|9186|VA000058
BETTY|YOUNG|betty.young96@icloud.com|526.784.4760|222 Oak Ave|Clinton|Nor.|43389|09-18-1990|8258|VA000059
WILLIAM|BROWN|william.brown19@gmail.com|(925) 976-5647|1144 Main St|Arlington|CO|12771|01/23/1956|9015|VA000060
JAMES|BAKER|james.baker19@hotmail.com|8669853266|6864 Cedar Ln|Fairview|ms|33519-5473|1960-05-18|2890|VA000061
RICHARD|KING|richard.king44@outlook.com|547-300-5241|2172 Cedar Ln|Marion|WY|93580|17-Aug-1947|6026|VA000062
SUSAN|HALL|susan.hall22@hotmail.com|+17085769391|3136 River Dr|Arlington|ME|89337|01-13-2001|3203|VA000063
ROBERT|YOUNG|robert.young24@icloud.com|226.983.3123|9613 Hill Rd|Franklin|IN|53943-5020|12/02/1951|5086|VA000064
BETTY|HARRIS|betty.harris77@hotmail.com|(429) 496-1456|9486 Lincoln Ave|Georgetown|fl|47794|1942-08-04|9439|VA000065
CHRISTOPHER|GARCIA|christopher.garcia31@icloud.com|8097766562|2002 Lincoln Ave|Greenville|VA|79641|05-Dec-2001|4570|VA000066
ASHLEY|BAKER|ashley.baker96@yahoo.com|418-514-2081|5947 Valley Ln|Arlington|MA|86473-8061|01-25-1980|8783|VA000067
MICHAEL|NELSON|michael.nelson19@hotmail.com|+19099922087|8131 Main St|Franklin|IL|51523|11/28/1984|9741|VA000068
ROBERT|KING|robert.king42@icloud.com|701.212.8374|9068 Lake Rd|Greenville|ut|46293|1960-12-17|4299|VA000069
KAREN|GARCIA|karen.garcia12@icloud.com|(805) 586-2806|7730 Sunset Blvd|Greenville|MN|77109-9083|26-Dec-1988|3187|VA000070
SUSAN|WHITE|susan.white29@hotmail.com|4323262869|2990 Hill Rd|Springfield|Ohi.|55003|08-23-2000|6062|VA000071
DAVID|SCOTT|david.scott70@yahoo.com|314-301-4634|5778 Valley Ln|Franklin|SD|62214|06/17/1949|4175|VA000072
DANIEL|DAVIS|daniel.davis46@gmail.com|+15252965438|3439 Washington St|Manchester|fl|23155-1689|1992-03-15|2721|VA000073
JESSICA|KING|jessica.king86@icloud.com|566.403.2274|6831 Lincoln Ave|Franklin|RI|36459|02-Feb-1971|1216|VA000074
ROBERT|WHITE|robert.white80@hotmail.com|(234) 987-8429|394 Lake Rd|Franklin|Ill.|15956|09-01-1976|7806|VA000075
ROBERT|THOMPSON||6146893518|6513 Lake Rd|Arlington|GA|55584-1835|10/27/2002|5055|VA000076
KAREN|KING||762-859-1015|9415 Forest Ave|Arlington|ct|95602|1947-03-21|7391|VA000077
ASHLEY|NGUYEN|ashley.nguyen85@outlook.com|+17898545892|1503 Lincoln Ave|Salem|AL|72910|23-Jul-1944|8005|VA000078
BETTY|NGUYEN|betty.nguyen86@yahoo.com|832.322.3259|6783 Valley Ln|Springfield|Nor.|22251-2178|12-15-1975|5558|VA000079
PATRICIA|NGUYEN|patricia.nguyen14@aol.com|(417) 518-3941|7242 Jefferson Dr|Georgetown|MT|95838|08/31/1990|1652|VA000080
NANCY|KING|nancy.king89@outlook.com|3185299678|3122 Forest Ave|Richmond|nh|39678|1971-02-23|5814|VA000081
PATRICIA|TORRES|patricia.torres60@gmail.com|570-751-3200|7070 River Dr|Arlington|AZ|99551-3436|15-May-1991|1394|VA000082
NANCY|KING|nancy.king46@outlook.com|+18364742522|6106 Jefferson Dr|Georgetown|ID|24920|12-15-1975|7557|VA000083
CHARLES|DAVIS|charles.davis81@aol.com|561.736.6023|7694 Hill Rd|Burlington|NE|24886|11/22/1954|5457|VA000084
BETTY|BAKER|betty.baker67@hotmail.com|(590) 866-4539|4648 Lincoln Ave|Fairview|tx|34783-1317|1963-11-07|8730|VA000085
ASHLEY|THOMAS|ashley.thomas19@gmail.com|3034388556|4348 Forest Ave|Oxford|MD|23984|10-Mar-1959|8288|VA000086
SARAH|JACKSON|sarah.jackson78@yahoo.com|628-944-3029|9828 Lake Rd|Greenville|AZ|86805|07-03-1987|6049|VA000087
MATTHEW|NELSON|matthew.nelson68@yahoo.com|+18272889321|8349 Oak Ave|Fairview|SC|31374-2126|04/23/1982|2889|VA000088
THOMAS|JONES|thomas.jones51@outlook.com|663.775.9114|2126 Sunset Blvd|Greenville|pa|70365|1984-08-05|5455|VA000089
MARK|WILLIAMS|mark.williams38@outlook.com|(566) 889-7503|1507 Maple Dr|Arlington|UT|59094|07-May-1952|7312|VA000090
DAVID|THOMPSON||2086413402|4103 Main St|Clinton|LA|62040-7040|12-25-1980|7768|VA000091
JENNIFER|MILLER|jennifer.miller16@yahoo.com|634-679-9288|4815 River Dr|Clinton|KY|59864|03/06/1988|7939|VA000092
MARY|ANDERSON|mary.anderson34@hotmail.com|+17472829904|8793 Hill Rd|Dayton|mo|67921|1986-05-06|7029|VA000093
THOMAS|HILL|thomas.hill97@yahoo.com|379.922.9728|9903 Jefferson Dr|Salem|VA|96280-6840|05-Jul-1968|3031|VA000094
BARBARA|THOMAS|barbara.thomas96@icloud.com|(431) 405-1727|7707 Cedar Ln|Georgetown|CT|60388|10-01-1944|3885|VA000095
ASHLEY|ADAMS|ashley.adams93@icloud.com|2984845903|1220 Maple Dr|Madison|MI|31024|08/23/1956|3536|VA000096
JOHN|WILSON||230-641-6961|6810 Lincoln Ave|Fairview|mn|47855-4775|1950-05-13|9385|VA000097
LINDA|THOMPSON|linda.thompson41@aol.com|+15913913747|3718 Valley Ln|Dayton|New York|28757|21-Dec-1964|9805|VA000098
MARY|JOHNSON|mary.johnson61@hotmail.com|275.399.7850|5066 Park Blvd|Arlington|MS|83872|08-03-1964|8702|VA000099
DANIEL|GARCIA|daniel.garcia54@yahoo.com|(359) 787-5889|2996 Valley Ln|Georgetown|AR|48973-5488|08/26/1992|6630|VA000100
MATTHEW|MILLER|matthew.miller20@gmail.com|6405275434|3686 Maple Dr|Clinton|sd|18801|1966-06-17|4615|VA000101
SANDRA|NGUYEN|sandra.nguyen29@outlook.com|967-292-5966|362 Park Blvd|Franklin|MA|24301|21-Apr-1967|2561|VA000102
JOSEPH|YOUNG|joseph.young63@hotmail.com|+18546741815|3817 Sunset Blvd|Springfield|WY|28519-7371|11-24-1992|4214|VA000103
JENNIFER|WHITE|jennifer.white23@outlook.com|502.980.4349|5458 Maple Dr|Salem|KS|93747|06/11/1946|4155|VA000104
RICHARD|WILLIAMS|richard.williams33@outlook.com|(487) 286-6837|1527 Jefferson Dr|Clinton|wv|39346|1953-06-10|6177|VA000105
SUSAN|WALKER|susan.walker18@outlook.com|6164275659|9113 River Dr|Salem|Texas|81982-9047|19-Jan-1942|4677|VA000106
ANTHONY|BROWN|anthony.brown39@hotmail.com|565-672-8562|7013 Maple Dr|Dayton|NE|27813|10-27-1974|5014|VA000107
JENNIFER|JACKSON|jennifer.jackson99@icloud.com|+17014882178|1001 Oak Ave|Fairview|HI|35422|12/31/1986|8223|VA000108
LISA|JOHNSON|lisa.johnson29@icloud.com|702.992.1555|2133 Park Blvd|Springfield|ga|44046-6371|1998-02-18|2841|VA000109
MARGARET|SMITH|margaret.smith13@yahoo.com|(579) 595-7030|2407 Jefferson Dr|Georgetown|SC|65836|13-Feb-1959|2282|VA000110
SANDRA|KING|sandra.king99@icloud.com|5412722794|7830 Cedar Ln|Arlington|RI|41671|03-03-1946|7823|VA000111
ASHLEY|HALL||637-881-7776|114 Lake Rd|Burlington|OR|83917-2377|03/29/1991|4171|VA000112
BARBARA|WRIGHT|barbara.wright30@gmail.com|+13102218958|2148 Jefferson Dr|Franklin|ok|78317|1976-12-11|1517|VA000113
JESSICA|BAKER|jessica.baker82@outlook.com|485.651.8335|4922 Jefferson Dr|Richmond|MO|50942|04-Mar-1941|7604|VA000114
ANTHONY|THOMPSON|anthony.thompson59@yahoo.com|(491) 406-5958|3758 Maple Dr|Georgetown|AZ|34014-4666|07-21-2002|3105|VA000115
NANCY|NGUYEN|nancy.nguyen82@yahoo.com|4099317674|1769 Cedar Ln|Fairview|NM|63429|01/14/1940|6598|VA000116
DAVID|ANDERSON|david.anderson86@aol.com|579-469-8749|9142 River Dr|Fairview|id|32280|1984-11-03|6120|VA000117
LINDA|TAYLOR|linda.taylor16@gmail.com|+14707506436|7204 Hill Rd|Arlington|VA|64995-7564|21-Apr-1980|2808|VA000118
KAREN|TORRES|karen.torres72@aol.com|572.846.7138|6620 Cedar Ln|Richmond|New.|89016|07-10-1974|7101|VA000119
JENNIFER|THOMAS||(468) 265-3594|2422 Forest Ave|Salem|MD|22468|03/05/1967|5629|VA000120
SUSAN|WILSON|susan.wilson79@gmail.com|9996522833|718 Washington St|Dayton|ne|42819-2772|1970-10-17|2281|VA000121
LINDA|HILL|linda.hill12@aol.com|942-785-3646|9252 Lincoln Ave|Burlington|AZ|73491|30-May-1955|1817|VA000122
BETTY|THOMAS|betty.thomas37@hotmail.com|+14329205239|9411 Forest Ave|Greenville|OR|28264|04-22-1983|8268|VA000123
LINDA|ALLEN|linda.allen1@yahoo.com|758.870.5489|7695 Forest Ave|Fairview|PA|67748-9457|09/28/1940|7186|VA000124
THOMAS|BAKER|thomas.baker1@aol.com|(621) 449-2602|5122 Hill Rd|Madison|wi|33192|1964-07-27|2081|VA000125
CHARLES|ANDERSON|charles.anderson38@yahoo.com|9358504953|8569 Washington St|Greenville|Illinois|66100|07-Jun-1970|7635|VA000126
BARBARA|ADAMS|barbara.adams45@yahoo.com|700-305-3251|763 Washington St|Burlington|SD|25957-7339|12-03-1953|7043|VA000127
JAMES|WRIGHT|james.wright57@hotmail.com|+16863148125|5609 Jefferson Dr|Clinton|TN|82218|08/14/1977|1893|VA000128
MATTHEW|JONES|matthew.jones67@outlook.com|801.682.5375|2060 Washington St|Franklin|tn|68329|1958-08-18|7399|VA000129
DAVID|GARCIA|david.garcia45@aol.com|(315) 636-5787|1933 Sunset Blvd|Oxford|MS|50491-3252|17-Sep-1957|3967|VA000130
JESSICA|HALL|jessica.hall73@yahoo.com|2155715924|8569 Hill Rd|Marion|MS|16739|12-10-1981|4479|VA000131
WILLIAM|HALL|william.hall12@hotmail.com|876-894-6571|6011 Lincoln Ave|Clinton|MT|71586|09/17/1976|5652|VA000132
JAMES|TAYLOR||+14066897880|9071 Cedar Ln|Marion|nd|49256-2526|1980-12-22|5320|VA000133
DAVID|MILLER|david.miller4@icloud.com|215.533.1385|6826 Washington St|Salem|VA|47383|08-Mar-1985|3026|VA000134
CHRISTOPHER|WALKER|christopher.walker7@yahoo.com|(689) 309-5081|2049 Hill Rd|Greenville|SD|18238|10-18-2004|1059|VA000135
THOMAS|YOUNG|thomas.young92@aol.com|3183802036|9985 Hill Rd|Greenville|AZ|18335-8573|07/01/1997|7707|VA000136
SUSAN|BROWN|susan.brown86@hotmail.com|334-248-1957|2635 Lincoln Ave|Greenville|ri|94984|1958-01-02|1034|VA000137
JOHN|WALKER|john.walker19@icloud.com|+19266398389|5111 Hill Rd|Richmond|WI|60834|04-Jan-1992|8964|VA000138
JESSICA|ADAMS||750.778.2408|7847 Cedar Ln|Burlington|MO|88673-2834|02-17-1941|8632|VA000139
CHRISTOPHER|WHITE|christopher.white80@icloud.com|(503) 880-3947|701 River Dr|Clinton|CA|53938|07/03/1999|5246|VA000140
JESSICA|WALKER|jessica.walker2@gmail.com|8492679547|4357 Maple Dr|Arlington|sc|39199|1959-07-04|6406|VA000141
MATTHEW|TORRES|matthew.torres43@gmail.com|657-940-7837|5940 Lincoln Ave|Manchester|MA|70128-9117|19-Jan-1960|8960|VA000142
MICHAEL|HALL|michael.hall81@yahoo.com|+16542305997|494 Maple Dr|Salem|Nor.|35514|05-08-2003|7660|VA000143
JENNIFER|ALLEN|jennifer.allen88@outlook.com|993.751.3587|8877 River Dr|Clinton|CO|85074|06/30/1985|3241|VA000144
JESSICA|HILL|jessica.hill14@hotmail.com|(817) 940-6138|2719 Forest Ave|Arlington|me|68501-7496|1988-09-30|9095|VA000145
LINDA|DAVIS|linda.davis95@aol.com|9028642870|7189 Washington St|Arlington|MA|10841|17-Nov-1978|1651|VA000146
PATRICIA|JONES|patricia.jones76@yahoo.com|551-230-3764|7380 River Dr|Salem|KY|91797|11-13-1941|7153|VA000147
DAVID|YOUNG|david.young19@outlook.com|+16415645915|6364 Jefferson Dr|Arlington|SC|86910-3908|01/31/1946|6657|VA000148
SARAH|TORRES|sarah.torres89@aol.com|444.231.2133|938 Sunset Blvd|Georgetown|wa|57590|1992-11-25|2375|VA000149
SARAH|TORRES|sarah.torres92@icloud.com|(251) 973-6796|8479 Hill Rd|Clinton|Ohio|26320|19-Mar-1945|3635|VA000150
PATRICIA|HARRIS|patricia.harris46@aol.com|7217909576|1703 Hill Rd|Salem|NM|88715-7676|03-20-1962|4786|VA000151
LINDA|THOMAS|linda.thomas69@aol.com|381-337-3626|4881 Jefferson Dr|Salem|CO|21382|02/05/1993|4640|VA000152
JOHN|JONES||+19488002490|2880 Sunset Blvd|Greenville|oh|95585|1996-12-22|7794|VA000153
JOHN|DAVIS|john.davis78@aol.com|868.988.4986|3411 River Dr|Fairview|Illinois|94748-2798|26-Jan-1955|7757|VA000154
ANTHONY|ALLEN|anthony.allen63@hotmail.com|(310) 276-7846|7425 Valley Ln|Fairview|OR|76777|08-16-1986|8701|VA000155
JAMES|KING|james.king5@gmail.com|6164763885|2420 Forest Ave|Clinton|KY|42138|10/27/1967|6023|VA000156
KAREN|THOMAS|karen.thomas1@aol.com|600-423-8182|6569 Forest Ave|Oxford|mo|90898-4688|1965-10-08|2063|VA000157
MATTHEW|SCOTT|matthew.scott17@icloud.com|+13094025312|3063 Valley Ln|Marion|ND|15010|30-Nov-1960|8964|VA000158
JAMES|HALL|james.hall2@icloud.com|312.416.8267|4311 Cedar Ln|Salem|Nor.|45549|11-17-1983|2599|VA000159
MARK|WALKER|mark.walker25@aol.com|(403) 964-5157|6177 River Dr|Oxford|WI|12970-3958|12/08/1986|2962|VA000160
THOMAS|KING||6145372278|1719 Valley Ln|Marion|wi|76502|1989-09-03|8297|VA000161
PATRICIA|TAYLOR|patricia.taylor82@gmail.com|628-300-7147|5480 Cedar Ln|Richmond|NJ|38800|19-Feb-1941|6275|VA000162
SANDRA|MILLER||+13023433017|9660 Washington St|Clinton|MN|66280-4061|03-19-1968|3290|VA000163
BARBARA|HARRIS|barbara.harris78@aol.com|694.494.1384|6550 Maple Dr|Franklin|MN|27437|03/16/2001|9157|VA000164
NANCY|THOMAS||(423) 349-8074|9598 Main St|Franklin|oh|74097|1996-04-18|4121|VA000165
ROBERT|DAVIS|robert.davis21@aol.com|8394024181|3736 Jefferson Dr|Manchester|Texas|52730-8684|05-Mar-1984|6226|VA000166
NANCY|WRIGHT|nancy.wright68@yahoo.com|916-906-8909|8071 Maple Dr|Georgetown|NV|99055|04-11-1979|3749|VA000167
JAMES|BROWN|james.brown4@icloud.com|+15604089149|3753 Valley Ln|Marion|MD|68117|04/28/1954|4441|VA000168
JESSICA|KING|jessica.king94@aol.com|577.907.1164|3701 Jefferson Dr|Manchester|vt|99480-5205|1959-03-19|3635|VA000169
MARK|SCOTT|mark.scott83@gmail.com|(431) 385-5297|4482 River Dr|Oxford|MA|99790|11-Jun-1968|9860|VA000170
DAVID|JACKSON|david.jackson71@yahoo.com|3995309108|4323 Sunset Blvd|Dayton|OK|70293|07-11-1975|9961|VA000171
BETTY|TAYLOR|betty.taylor77@yahoo.com|602-545-7873|8138 Valley Ln|Arlington|MI|97883-5244|10/23/1946|3992|VA000172
DANIEL|HARRIS|daniel.harris38@outlook.com|+16744957842|7179 Hill Rd|Burlington|me|59138|2002-10-28|3054|VA000173
CHARLES|SCOTT|charles.scott46@icloud.com|847.830.5060|3458 River Dr|Salem|WY|81122|08-Oct-1960|6851|VA000174
JENNIFER|GARCIA|jennifer.garcia28@icloud.com|(246) 504-2128|567 Main St|Marion|RI|24821-3427|12-02-1965|6965|VA000175
RICHARD|WALKER|richard.walker47@icloud.com|7178213949|4118 Sunset Blvd|Madison|CO|97068|08/24/1988|4734|VA000176
NANCY|WRIGHT|nancy.wright51@hotmail.com|905-882-9508|1235 Maple Dr|Springfield|ar|10051|1957-05-11|4540|VA000177
SUSAN|DAVIS|susan.davis19@hotmail.com|+19487131517|5343 Main St|Fairview|MN|99723-1221|12-May-1992|7036|VA000178
MARK|JONES|mark.jones31@gmail.com|324.904.8896|8752 Forest Ave|Oxford|VA|10298|06-10-1945|3030|VA000179
CHRISTOPHER|GARCIA|christopher.garcia75@aol.com|(212) 774-9219|1596 Main St|Oxford|CT|25136|06/02/1979|7632|VA000180
RICHARD|BAKER||4542996429|6293 River Dr|Dayton|ne|24442-8747|1963-02-28|6805|VA000181
WILLIAM|ADAMS|william.adams20@hotmail.com|997-780-2730|1109 Washington St|Salem|IN|73392|02-Dec-1952|6984|VA000182
SANDRA|NELSON|sandra.nelson59@hotmail.com|+14197416625|7511 Jefferson Dr|Greenville|RI|15913|11-16-1960|3226|VA000183
ANTHONY|WALKER|anthony.walker74@hotmail.com|323.441.7367|6339 Forest Ave|Madison|WY|81552-3452|09/25/1986|7986|VA000184
JOSEPH|NGUYEN|joseph.nguyen80@icloud.com|(582) 370-4777|3161 River Dr|Oxford|va|89488|1980-08-09|2527|VA000185
BETTY|WHITE|betty.white17@aol.com|5747439221|4466 Jefferson Dr|Greenville|KY|73156|24-Jun-1966|6549|VA000186
LISA|HALL||747-626-9297|9926 Forest Ave|Fairview|NH|58924-9427|02-11-2003|5221|VA000187
SARAH|MILLER|sarah.miller24@aol.com|+19825757909|6618 Forest Ave|Franklin|OK|76786|04/24/1960|5147|VA000188
SANDRA|NELSON|sandra.nelson52@hotmail.com|694.270.3888|1321 Maple Dr|Burlington|nc|18864|1996-09-27|9673|VA000189
LINDA|MARTIN|linda.martin44@gmail.com|(796) 722-1180|1404 Main St|Dayton|MD|25587-4638|18-Jul-1984|7176|VA000190
SUSAN|MARTIN|susan.martin71@gmail.com|8616685211|8594 Valley Ln|Arlington|Cal.|19280|02-18-1943|3252|VA000191
JOHN|HARRIS|john.harris61@yahoo.com|908-979-5014|6468 Hill Rd|Fairview|KY|37407|03/04/1991|2416|VA000192
THOMAS|NGUYEN|thomas.nguyen88@icloud.com|+17169528748|912 Cedar Ln|Marion|md|68837-6967|1966-03-25|2475|VA000193
THOMAS|YOUNG|thomas.young7@outlook.com|766.801.2488|3350 Cedar Ln|Clinton|Texas|53345|11-Nov-1966|4854|VA000194
CHARLES|YOUNG|charles.young24@gmail.com|(988) 903-2691|6080 Maple Dr|Madison|Flo.|87065|12-26-1952|5503|VA000195
JOSEPH|ADAMS|joseph.adams89@aol.com|2765159489|6362 Valley Ln|Oxford|NV|14494-3895|01/07/1942|8776|VA000196
MARY|BAKER|mary.baker50@yahoo.com|528-777-6606|3210 Park Blvd|Georgetown|la|69614|1994-11-25|8751|VA000197
ANTHONY|ALLEN|anthony.allen34@icloud.com|+12243679816|4552 Park Blvd|Fairview|OK|79248|27-May-1952|7177|VA000198
JOSEPH|WHITE|joseph.white94@yahoo.com|625.870.2232|8186 River Dr|Burlington|SD|71698-4261|08-23-1976|4299|VA000199
SANDRA|WHITE|sandra.white59@aol.com|(590) 317-4204|7694 Oak Ave|Georgetown|NJ|64124|11/07/1997|7484|VA000200
MARY|BROWN|mary.brown6@icloud.com|6648039297|3700 Park Blvd|Springfield|al|68944|1979-11-27|2236|VA000201
